index,age,two_year_recid,priors_count,length_of_stay,isMale,isCaucasian,c_charge_degree_F
7573,-0.13080886092570898,1,2.688487347297486,-0.18466826467651465,1,0,1
6107,-0.8980109099914138,0,-0.6843577587219684,-0.29174948692223507,0,1,1
1548,-0.5570322215177672,1,0.5804591560353272,-0.31316573137137915,1,0,1
1044,0.12492515542952594,0,0.15885351778289533,-0.270333242473091,1,0,0
5363,-0.6422768936361789,0,-0.4735549395957524,-0.270333242473091,1,0,0
9759,1.2331058929688774,0,-0.6843577587219684,-0.29174948692223507,1,1,1
2575,-0.045564188807297346,1,-0.4735549395957524,-0.05617079798165011,0,1,1
9257,-0.5570322215177672,0,-0.6843577587219684,-0.31316573137137915,1,0,1
6394,1.062616548732054,0,-0.4735549395957524,0.7362302466366812,1,0,1
2910,0.6363931881399958,0,-0.6843577587219684,-0.31316573137137915,1,1,0
7987,-0.4717875493993556,1,1.4236704325401908,-0.270333242473091,1,1,1
10869,1.062616548732054,1,0.15885351778289533,1.0574739133738427,1,0,1
5658,-1.1537449263466486,1,-0.6843577587219684,-0.31316573137137915,1,0,1
9240,-0.6422768936361789,1,-0.4735549395957524,-0.31316573137137915,1,0,1
5833,1.062616548732054,0,-0.05194930134332058,-0.270333242473091,1,1,1
2538,2.6822653189818753,0,-0.4735549395957524,0.09374291316235851,1,1,0
497,-0.9832555821098254,0,-0.4735549395957524,-0.31316573137137915,0,0,0
3462,0.2101698275479376,1,-0.4735549395957524,-0.29174948692223507,1,1,0
4303,-0.8127662378730022,0,0.36965633690911126,0.43640282434866395,1,0,1
5887,-0.8980109099914138,1,-0.2627521204695365,-0.29174948692223507,1,0,1
9225,-0.13080886092570898,1,1.2128676134139749,-0.29174948692223507,1,0,0
6292,1.8298185977977588,0,-0.05194930134332058,-0.01333830908336193,1,0,0
4627,2.93799933533711,1,-0.6843577587219684,-0.31316573137137915,1,1,0
1652,2.0855526141529936,0,-0.2627521204695365,-0.05617079798165011,1,1,1
2930,-0.4717875493993556,1,1.4236704325401908,1.9997886691361826,1,0,0
6280,-0.21605353304412062,0,-0.6843577587219684,-0.29174948692223507,1,0,0
5295,-0.8127662378730022,1,-0.4735549395957524,-0.31316573137137915,1,0,1
359,-0.21605353304412062,0,2.2668817090450544,-0.29174948692223507,1,0,1
7576,-0.30129820516253225,1,-0.4735549395957524,-0.33458197582052324,1,0,1
7348,0.29541449966634925,0,-0.6843577587219684,-0.29174948692223507,1,0,0
7004,-0.8980109099914138,0,-0.2627521204695365,0.37215409100123165,1,1,1
3394,-1.1537449263466486,1,-0.05194930134332058,2.40669731366992,1,1,1
3064,0.6363931881399958,0,-0.4735549395957524,-0.270333242473091,1,1,0
9080,0.2101698275479376,1,-0.2627521204695365,-0.22750075357480282,1,1,1
1324,0.4659038439031725,0,-0.6843577587219684,0.15799164650979078,1,1,1
319,1.8298185977977588,1,0.7912619751615431,-0.31316573137137915,1,1,1
4068,1.744573925679347,0,-0.6843577587219684,-0.29174948692223507,0,1,0
10467,0.8921272044952308,0,-0.2627521204695365,-0.31316573137137915,1,1,0
3015,0.9773718766136423,1,-0.4735549395957524,-0.31316573137137915,1,1,0
1292,1.1478612208504657,0,-0.4735549395957524,-0.31316573137137915,1,1,1
1572,-0.6422768936361789,0,-0.4735549395957524,-0.18466826467651465,1,0,1
5729,-1.1537449263466486,1,0.15885351778289533,0.39357033545037573,1,1,0
